Namespace(data_dir='../../datasets', dataset='ptc', task='regression', filters='100_100_100', conv='gcn', match='node-graph', perspectives=100, match_agg='bilstm', hidden_size=100, global_flag=True, global_agg='fc_max_pool', iterations=1000, iter_val_start=900, iter_val_every=100, inclusive=True, batch_size=128, lr=0.005, dropout=0.1, gpu_index='0', log_path='./GEDLogs/', repeat_run=1)
MultiLevelGraphMatchNetwork(
  (gc1): DenseGCNConv(19, 100)
  (gc2): DenseGCNConv(100, 100)
  (gc3): DenseGCNConv(100, 100)
  (global_fc_agg): Linear(in_features=100, out_features=100, bias=True)
  (agg_bilstm): LSTM(100, 100, batch_first=True, bidirectional=True)
  (predict_fc1): Linear(in_features=600, out_features=300, bias=True)
  (predict_fc2): Linear(in_features=300, out_features=150, bias=True)
  (predict_fc3): Linear(in_features=150, out_features=75, bias=True)
  (predict_fc4): Linear(in_features=75, out_features=1, bias=True)
)
310,4.987160209566355, @ 0:00:15.674099
311,5.133237689733505, @ 0:00:15.834668
312,5.305595230311155, @ 0:00:15.714989
313,6.4584254287183285, @ 0:00:15.743910
314,7.158463820815086, @ 0:00:15.568381
315,4.5317066833376884, @ 0:00:15.826689
316,7.678891997784376, @ 0:00:15.893511
317,6.480448413640261, @ 0:00:15.719976
318,5.806437693536282, @ 0:00:15.666118
319,6.7071677185595036, @ 0:00:15.778818
320,4.253493156284094, @ 0:00:15.819709
321,4.832990933209658, @ 0:00:15.565389
322,5.235400050878525, @ 0:00:15.735932
323,4.625658970326185, @ 0:00:15.895506
324,7.503734901547432, @ 0:00:16.164785
325,4.448569379746914, @ 0:00:17.278872
326,5.186948459595442, @ 0:00:16.467976
327,4.657020326703787, @ 0:00:21.946770
328,5.775991827249527, @ 0:00:17.300613
329,4.292301367968321, @ 0:00:17.537265
330,6.882220506668091, @ 0:00:19.548097
331,5.462590605020523, @ 0:00:19.842659
332,6.7894491367042065, @ 0:00:18.369252
333,4.0504890494048595, @ 0:00:18.752549
334,5.654956214129925, @ 0:00:17.398518
335,6.171331275254488, @ 0:00:17.176443
336,5.155117250978947, @ 0:00:17.385097
337,5.939737427979708, @ 0:00:18.867086
338,4.754603840410709, @ 0:00:16.795205
339,4.410281777381897, @ 0:00:16.003100
340,6.221272051334381, @ 0:00:16.777124
341,5.317186936736107, @ 0:00:17.525853
342,4.872358869761229, @ 0:00:16.414954
343,7.969318889081478, @ 0:00:17.731322
344,4.6233744360506535, @ 0:00:18.013868
345,5.270480643957853, @ 0:00:17.197905
346,4.3770503252744675, @ 0:00:17.784614
347,5.273983348160982, @ 0:00:17.344407
348,6.057136692106724, @ 0:00:17.919193
349,4.190543200820684, @ 0:00:17.722879
350,6.423648446798325, @ 0:00:17.974833
351,4.500266630202532, @ 0:00:17.509883
352,4.816231317818165, @ 0:00:16.827148
353,3.7251573521643877, @ 0:00:16.967299
354,7.3271626606583595, @ 0:00:17.878150
355,5.29482401907444, @ 0:00:18.237483
356,4.326303955167532, @ 0:00:16.798353
357,5.841179750859737, @ 0:00:16.947677
358,3.885930636897683, @ 0:00:17.153305
359,4.523278679698706, @ 0:00:17.246806
360,4.161704331636429, @ 0:00:17.766162
361,7.261135615408421, @ 0:00:19.176016
362,3.6905554588884115, @ 0:00:18.085027
363,5.023569334298372, @ 0:00:18.504375
364,4.819294437766075, @ 0:00:17.118387
365,5.277030169963837, @ 0:00:17.797020
366,6.86358567327261, @ 0:00:17.082627
367,5.646238569170237, @ 0:00:17.115430
368,5.139146000146866, @ 0:00:16.298391
369,4.614354111254215, @ 0:00:16.844114
370,3.375229425728321, @ 0:00:17.664516
371,4.097780212759972, @ 0:00:16.811728
372,4.517518449574709, @ 0:00:17.969263
373,3.9642807096242905, @ 0:00:17.394959
374,3.964968491345644, @ 0:00:17.032867
375,3.4539049956947565, @ 0:00:17.314173
376,2.9168352484703064, @ 0:00:17.369091
377,4.1082194074988365, @ 0:00:16.983968
378,3.919172566384077, @ 0:00:17.207890
379,3.9304904639720917, @ 0:00:16.841874
380,3.0503766611218452, @ 0:00:16.938316
381,3.6723415832966566, @ 0:00:16.894547
382,5.70339523255825, @ 0:00:16.644057
383,4.4669099152088165, @ 0:00:16.929301
384,4.514876753091812, @ 0:00:16.417891
385,6.253257859498262, @ 0:00:16.542778
386,4.928098525851965, @ 0:00:16.688500
387,3.370186546817422, @ 0:00:16.900482
388,3.7614102475345135, @ 0:00:17.423297
389,4.4257864356040955, @ 0:00:17.210878
390,4.216662608087063, @ 0:00:16.315948
391,4.8990012146532536, @ 0:00:17.008039
392,4.790657199919224, @ 0:00:17.412897
393,3.630937309935689, @ 0:00:16.868089
394,5.430153571069241, @ 0:00:17.116150
395,5.2789621986448765, @ 0:00:16.806930
396,4.790560808032751, @ 0:00:16.931746
397,4.895207937806845, @ 0:00:16.850802
398,3.371941624209285, @ 0:00:16.071217
399,3.5613286308944225, @ 0:00:17.172344
400,3.1371263321489096, @ 0:00:17.591937
401,3.6483234725892544, @ 0:00:17.348980
402,4.230771213769913, @ 0:00:17.553839
403,4.8233033157885075, @ 0:00:15.969031
404,5.002209451049566, @ 0:00:15.882303
405,5.562811624258757, @ 0:00:16.327142
406,3.642444498836994, @ 0:00:16.145601
407,3.4298673272132874, @ 0:00:16.401207
408,4.826189950108528, @ 0:00:16.376889
409,4.251717124134302, @ 0:00:16.591750
410,3.867104183882475, @ 0:00:16.936195
411,3.5247181076556444, @ 0:00:16.359036
412,4.0199183858931065, @ 0:00:18.052467
413,3.9471755735576153, @ 0:00:16.830043
414,5.94038562849164, @ 0:00:16.979355
415,4.020756110548973, @ 0:00:16.951701
416,6.107388064265251, @ 0:00:16.837009
417,2.805965719744563, @ 0:00:17.258168
418,5.905725061893463, @ 0:00:17.433287
419,3.569983411580324, @ 0:00:17.426447
420,3.190519753843546, @ 0:00:17.255038
421,3.3522520679980516, @ 0:00:17.222612
422,3.9113061502575874, @ 0:00:17.158721
423,4.80328407138586, @ 0:00:16.450683
424,3.420200664550066, @ 0:00:16.796513
425,4.605562426149845, @ 0:00:16.010408
426,4.5827217400074005, @ 0:00:16.036599
427,3.7240467499941587, @ 0:00:16.386906
428,4.81471186503768, @ 0:00:16.469558
429,3.94083047285676, @ 0:00:17.323754
430,3.6826266441494226, @ 0:00:16.769022
431,5.499656777828932, @ 0:00:16.444158
432,2.3278738372027874, @ 0:00:16.861733
