Namespace(data_dir='../../datasets', dataset='linux', task='regression', filters='100_100_100', conv='gcn', match='node-graph', perspectives=100, match_agg='bilstm', hidden_size=100, global_flag=True, global_agg='fc_max_pool', iterations=1000, iter_val_start=900, iter_val_every=100, inclusive=True, batch_size=128, lr=0.005, dropout=0.1, gpu_index='0', log_path='./GEDLogs/', repeat_run=1)
MultiLevelGraphMatchNetwork(
  (gc1): DenseGCNConv(1, 100)
  (gc2): DenseGCNConv(100, 100)
  (gc3): DenseGCNConv(100, 100)
  (global_fc_agg): Linear(in_features=100, out_features=100, bias=True)
  (agg_bilstm): LSTM(100, 100, batch_first=True, bidirectional=True)
  (predict_fc1): Linear(in_features=600, out_features=300, bias=True)
  (predict_fc2): Linear(in_features=300, out_features=150, bias=True)
  (predict_fc3): Linear(in_features=150, out_features=75, bias=True)
  (predict_fc4): Linear(in_features=75, out_features=1, bias=True)
)
280,1.2831477215513587, @ 0:00:01.347089
281,1.1088841129094362, @ 0:00:01.506972
282,1.0389972012490034, @ 0:00:01.349326
283,1.4047552831470966, @ 0:00:01.271596
284,0.9748415905050933, @ 0:00:01.464824
285,1.1735621374100447, @ 0:00:01.484870
286,0.9469109936617315, @ 0:00:01.654747
287,1.025688135996461, @ 0:00:01.417093
288,1.146602793596685, @ 0:00:01.210767
289,1.2307018041610718, @ 0:00:01.303780
290,1.1533056385815144, @ 0:00:01.263931
291,1.2692725285887718, @ 0:00:01.306724
292,1.066302414983511, @ 0:00:01.227589
293,1.2547823134809732, @ 0:00:01.231696
294,0.9267670102417469, @ 0:00:01.202456
295,0.8801643270999193, @ 0:00:01.200447
296,1.0836488800123334, @ 0:00:01.272608
297,0.9878327837213874, @ 0:00:01.251293
298,1.095041399821639, @ 0:00:01.197176
299,1.3517814222723246, @ 0:00:01.206967
300,1.2904166942462325, @ 0:00:01.268056
301,1.1784866219386458, @ 0:00:01.221283
302,0.975059054326266, @ 0:00:01.214114
303,1.0744696483016014, @ 0:00:01.244195
304,1.139235682785511, @ 0:00:01.198839
305,1.119945663958788, @ 0:00:01.209519
306,1.205514301545918, @ 0:00:01.345279
307,1.122980727814138, @ 0:00:01.254356
308,1.0429887333884835, @ 0:00:01.276862
309,1.0219808900728822, @ 0:00:01.201787
310,1.0260605486109853, @ 0:00:01.163290
311,1.0489155538380146, @ 0:00:01.186627
312,1.067042932845652, @ 0:00:01.228030
313,1.1229260126128793, @ 0:00:01.219233
314,1.154329627752304, @ 0:00:01.232641
315,1.0008725803345442, @ 0:00:01.412359
316,1.0769282234832644, @ 0:00:01.363356
317,1.130778924562037, @ 0:00:01.290581
318,0.9331285837106407, @ 0:00:01.248952
319,1.2479537399485707, @ 0:00:01.359797
320,1.0606435826048255, @ 0:00:01.191462
321,0.9820042178034782, @ 0:00:01.318420
322,0.9761008550412953, @ 0:00:01.365963
323,0.9491851669736207, @ 0:00:01.265851
324,1.002918230369687, @ 0:00:01.432362
325,1.2138047022745013, @ 0:00:01.337112
326,1.1945378500968218, @ 0:00:01.172896
327,1.4213667018339038, @ 0:00:01.357276
328,0.8462825207971036, @ 0:00:01.234694
329,1.0403203777968884, @ 0:00:01.180869
330,1.070830738171935, @ 0:00:01.235435
331,1.0665474692359567, @ 0:00:01.193652
332,1.057731220498681, @ 0:00:01.144704
333,1.0400033788755536, @ 0:00:01.322137
334,1.2068067444488406, @ 0:00:01.448922
335,1.2431835057213902, @ 0:00:01.324284
336,1.0746933985501528, @ 0:00:01.288034
337,0.9674394968897104, @ 0:00:01.167272
338,1.105711329728365, @ 0:00:01.268841
339,1.1605507461354136, @ 0:00:01.169963
340,1.2331061298027635, @ 0:00:01.190972
341,1.2920773588120937, @ 0:00:01.203731
342,1.2701335363090038, @ 0:00:01.290031
343,0.9499623556621373, @ 0:00:01.319323
344,1.1250785319134593, @ 0:00:01.265733
345,1.184819731861353, @ 0:00:01.284777
346,0.9387732716277242, @ 0:00:01.186605
347,1.0013646678999066, @ 0:00:01.200557
348,1.015565125271678, @ 0:00:01.221291
349,0.92556286836043, @ 0:00:01.157001
350,1.0905053932219744, @ 0:00:01.165314
351,0.9226225665770471, @ 0:00:01.240527
352,0.8385762921534479, @ 0:00:01.260760
353,1.2389885960146785, @ 0:00:01.355440
354,1.3954963069409132, @ 0:00:01.284005
355,1.0202446719631553, @ 0:00:01.268773
356,1.0821096366271377, @ 0:00:01.197040
357,1.0066679678857327, @ 0:00:01.282906
358,1.1903721606358886, @ 0:00:01.204328
359,1.0766580235213041, @ 0:00:01.450029
360,1.0106404079124331, @ 0:00:01.454598
361,1.365894335322082, @ 0:00:01.307263
362,0.7699872367084026, @ 0:00:01.664085
363,1.1679052840918303, @ 0:00:01.328787
364,0.9786993032321334, @ 0:00:01.413024
365,1.1289031244814396, @ 0:00:01.392934
366,1.234116847626865, @ 0:00:01.366029
367,1.0449469555169344, @ 0:00:01.304105
368,1.2165955267846584, @ 0:00:01.246006
369,0.826870440505445, @ 0:00:01.285093
370,1.238845637999475, @ 0:00:01.327604
371,1.1069431202486157, @ 0:00:01.323253
372,0.938257435336709, @ 0:00:01.194696
373,1.2151938863098621, @ 0:00:01.185120
374,1.2628217227756977, @ 0:00:01.209449
375,0.9542896877974272, @ 0:00:01.242635
376,1.0837999871000648, @ 0:00:01.213102
377,1.1403481476008892, @ 0:00:01.194930
378,1.0259159607812762, @ 0:00:01.261961
379,1.1721260379999876, @ 0:00:01.330910
380,1.1098913382738829, @ 0:00:01.365522
381,1.273054163902998, @ 0:00:01.276525
382,1.2724259868264198, @ 0:00:01.291483
383,1.1445614509284496, @ 0:00:01.161584
384,1.1792596196755767, @ 0:00:01.191911
385,0.9810373885557055, @ 0:00:01.308153
386,0.9459814173169434, @ 0:00:01.269826
387,0.947596097830683, @ 0:00:01.180068
388,1.2095185229554772, @ 0:00:01.366070
389,1.2009787606075406, @ 0:00:01.397876
390,1.1098780669271946, @ 0:00:01.370430
391,1.0567677672952414, @ 0:00:01.303138
392,1.2258074712008238, @ 0:00:01.277585
393,1.225666725076735, @ 0:00:01.227734
394,1.3579285005107522, @ 0:00:01.306507
395,0.9568604873493314, @ 0:00:01.185129
396,1.274805166758597, @ 0:00:01.174287
397,1.491669798269868, @ 0:00:01.307558
398,0.9693710599094629, @ 0:00:01.407595
399,1.0706103639677167, @ 0:00:01.373341
400,1.1788586853072047, @ 0:00:01.262781
401,1.4420198276638985, @ 0:00:01.247866
402,1.1472204932942986, @ 0:00:01.336601
403,1.304818782955408, @ 0:00:01.171882
404,0.9624555823393166, @ 0:00:01.179566
405,1.1762448120862246, @ 0:00:01.173151
406,0.9337612427771091, @ 0:00:01.200539
407,1.4301418559625745, @ 0:00:01.316607
408,1.4332542195916176, @ 0:00:01.366789
409,1.1822229716926813, @ 0:00:01.281920
410,0.9825417073443532, @ 0:00:01.250791
411,0.8930922485888004, @ 0:00:01.347755
412,0.9581258054822683, @ 0:00:01.458774
413,1.1189570650458336, @ 0:00:01.333435
414,0.8971287752501667, @ 0:00:01.212854
415,1.1090923799201846, @ 0:00:01.229342
416,0.947621650993824, @ 0:00:01.264704
417,1.1072255438193679, @ 0:00:01.467514
418,0.8952269563451409, @ 0:00:01.424914
419,1.137738348916173, @ 0:00:01.241226
420,1.0818379232659936, @ 0:00:01.296895
421,1.3242203276604414, @ 0:00:01.239694
422,0.9434445528313518, @ 0:00:01.281950
423,1.0581357637420297, @ 0:00:01.272797
424,1.1226818896830082, @ 0:00:01.344406
425,1.3804908376187086, @ 0:00:01.367235
426,0.9736064821481705, @ 0:00:01.490611
427,0.9886063635349274, @ 0:00:01.259119
428,1.2135348515585065, @ 0:00:01.276984
429,1.031649997457862, @ 0:00:01.192374
430,1.1711984407156706, @ 0:00:01.204174
431,1.1835236800834537, @ 0:00:01.159404
432,0.9773287456482649, @ 0:00:01.236303
433,1.0421359911561012, @ 0:00:01.215908
434,1.2312717735767365, @ 0:00:01.290200
435,1.2242000084370375, @ 0:00:01.390756
436,1.0889642871916294, @ 0:00:01.303891
437,1.183816697448492, @ 0:00:01.301752
438,1.106145791709423, @ 0:00:01.216576
439,0.9306537103839219, @ 0:00:01.265920
440,0.7709718192927539, @ 0:00:01.232902
441,1.1719013564288616, @ 0:00:01.305372
442,1.214559655636549, @ 0:00:01.304334
443,0.9645348181948066, @ 0:00:01.201978
444,1.0083609959110618, @ 0:00:01.276483
445,1.060421229340136, @ 0:00:01.401771
446,1.2500019511207938, @ 0:00:01.224070
447,0.9692534804344177, @ 0:00:01.300979
448,1.1473388876765966, @ 0:00:01.240683
449,1.0729836067184806, @ 0:00:01.194964
450,1.0254442458972335, @ 0:00:01.204271
451,0.8237893925979733, @ 0:00:01.355951
452,1.3433864805847406, @ 0:00:01.277173
453,1.0000611655414104, @ 0:00:01.280180
454,1.0604707058519125, @ 0:00:01.458482
455,1.0799197480082512, @ 0:00:01.291911
456,1.1453020852059126, @ 0:00:01.228323
457,1.0933297453448176, @ 0:00:01.257794
458,1.3166151475161314, @ 0:00:01.239953
459,0.8114351658150554, @ 0:00:01.715102
460,1.297377864830196, @ 0:00:01.442206
461,0.9807226015254855, @ 0:00:01.382873
462,1.1057464871555567, @ 0:00:01.629924
463,1.0403301566839218, @ 0:00:01.365333
464,1.0330959921702743, @ 0:00:01.581822
465,0.996873015537858, @ 0:00:01.509951
466,1.0258222464472055, @ 0:00:01.392313
467,0.9482696186751127, @ 0:00:01.444225
468,1.175822108052671, @ 0:00:01.193447
469,1.1933918576687574, @ 0:00:01.188148
470,1.177496276795864, @ 0:00:01.342804
471,1.1736684245988727, @ 0:00:01.394049
472,1.0161945829167962, @ 0:00:01.226225
473,1.2882252922281623, @ 0:00:01.308656
474,0.9356187656521797, @ 0:00:01.423697
475,1.1439481750130653, @ 0:00:01.389689
476,1.2360829859972, @ 0:00:01.197739
477,1.137433690018952, @ 0:00:01.187822
478,1.0600273963063955, @ 0:00:01.165346
479,1.2464539613574743, @ 0:00:01.441183
480,0.9565727668814361, @ 0:00:01.468559
481,1.136584091000259, @ 0:00:01.267043
482,1.0530833387747407, @ 0:00:01.259382
483,1.119154505431652, @ 0:00:01.228282
484,1.319946488365531, @ 0:00:01.356868
485,1.0265179444104433, @ 0:00:01.320792
486,1.2116056168451905, @ 0:00:01.190920
487,1.2305122800171375, @ 0:00:01.353897
488,1.0007416130974889, @ 0:00:01.287903
489,1.1397984344512224, @ 0:00:01.452514
490,0.9280419908463955, @ 0:00:01.230112
491,0.873061828315258, @ 0:00:01.310295
492,1.1727414093911648, @ 0:00:01.189024
493,0.8585629402659833, @ 0:00:01.331172
494,1.2218216434121132, @ 0:00:01.188871
495,1.3722642324864864, @ 0:00:01.235178
496,0.9898947319015861, @ 0:00:01.238008
497,1.2537201400846243, @ 0:00:01.294784
498,0.9666848345659673, @ 0:00:01.409974
499,1.1235196143388748, @ 0:00:01.335310
500,1.0265876771882176, @ 0:00:01.210083
501,1.0440157493576407, @ 0:00:01.259829
502,1.2179629411548376, @ 0:00:01.224167
503,1.131634577177465, @ 0:00:01.214661
504,1.01030757650733, @ 0:00:01.264902
505,1.102198613807559, @ 0:00:01.201811
506,0.831871060654521, @ 0:00:01.227442
507,1.0681551648303866, @ 0:00:01.306397
508,0.9365089936181903, @ 0:00:01.387177
509,0.9794890647754073, @ 0:00:01.285881
510,1.0044125374406576, @ 0:00:01.373690
511,1.1462282855063677, @ 0:00:01.225772
512,1.2968984665349126, @ 0:00:01.208119
513,1.1284536449238658, @ 0:00:01.280004
514,1.2572642881423235, @ 0:00:01.231860
515,0.7326195482164621, @ 0:00:01.219009
